"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"CREMA SOLAR FPS 50+",5.5,NA,NA,NA,"4530-021-052393"
"TÓNICO ÁRBOL DE TÉ",3.5,NA,NA,NA,"4530-021-052393"
"INTERDENTAL FINO",1.5,NA,NA,NA,"4530-021-052393"
"ACEITUNA PARTIDA",3.9,NA,NA,NA,"4530-021-052393"
"ARROZ BOMBA",4.9,NA,NA,NA,"4530-021-052393"
"B ALMENDRAS S/A CAJA",7.8,NA,NA,NA,"4530-021-052393"
"INTEGRAL TRIGO50%S/S                  ",0.35,NA,NA,NA,"4530-021-052393"
"INTEGRAL TRIGO50%S/S                  ",0.35,NA,NA,NA,"4530-021-052393"
"INTEGRAL TRIGO50%S/S                  ",0.35,NA,NA,NA,"4530-021-052393"
"TARTA QUESO",1.8,NA,NA,NA,"4530-021-052393"
"MINI SALADAS 24 UN",2.5,NA,NA,NA,"4530-021-052393"
"NARANJA 5 KG.",4.95,NA,NA,NA,"4530-021-052393"
"FRESÓN 1 KG.",4.31,NA,NA,NA,"4530-021-052393"
"MINI EMP PISTO P6",1.7,NA,NA,NA,"4530-021-052393"
"JUDÍA PLANA 750 GR",2.25,NA,NA,NA,"4530-021-052393"
"UVA BLANCA S/SEM",2.69,NA,NA,NA,"4530-021-052393"
"ESP VERDE FINO                        ",1.99,NA,NA,NA,"4530-021-052393"
"ESP VERDE FINO                        ",1.99,NA,NA,NA,"4530-021-052393"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4530-021-052393"
"FIGATELL",3.82,NA,NA,NA,"4530-021-052393"
"1/2 CONEJO TROCEADO",5.35,NA,NA,NA,"4530-021-052393"
"1/2 POLLO PART CERT",4.83,NA,NA,NA,"4530-021-052393"
"SALCHICHÓN BELLOTA",2.67,NA,NA,NA,"4530-021-052393"
"SALCHICHÓN BELLOTA",2.67,NA,NA,NA,"4530-021-052393"
"EMBUTIDO LONCHEADO",5.36,NA,NA,NA,"4530-021-052393"
"JAMON CEBO IBERICO",7,NA,NA,NA,"4530-021-052393"
"GARRÓN JAMON SERRANO",2.56,NA,NA,NA,"4530-021-052393"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-021-052393"
"CAÑAILLA",2.9,NA,NA,NA,"4530-021-052393"
"BERBERECHO",5.95,NA,NA,NA,"4530-021-052393"
"PRESA IBERICA",8.78,NA,NA,NA,"4530-021-052393"
"COSTILLA CARNOSA",5.41,NA,NA,NA,"4530-021-052393"
"LUBINA",8.25,1.32,10.89,"Pescado","4530-021-052393"
"SEPIA FRESCA",12.95,0.53,6.86,"Pescado","4530-021-052393"
"BACALADILLA",2.95,1.036,3.06,"Pescado","4530-021-052393"
"QUISQUILLA MEDIANA",27.9,0.252,7.03,"Pescado","4530-021-052393"
"HABAS",2.95,2.118,6.25,"Verdura y Frutas","4530-021-052393"
"MANDARINA",1.99,0.892,1.78,"Verdura y Frutas","4530-021-052393"
"CACAHUETE SIN SAL",1.55,NA,NA,NA,"2233-021-405983"
"GASIFICANTE REPOSTER",0.7,NA,NA,NA,"2233-021-405983"
"NUEZ CASCARA NATURAL",3.25,NA,NA,NA,"2233-021-405983"
"ROJA DULCE BOLSA",3.22,NA,NA,NA,"2233-021-405983"
"PATATAS PIMIENTO",1.15,NA,NA,NA,"2233-021-405983"
"HOGAZA CENTENO 50%",1.8,NA,NA,NA,"2233-021-405983"
"12 HUEVOS GRANDES -L",2.2,NA,NA,NA,"2233-021-405983"
"AZUCAR",1.45,NA,NA,NA,"2233-021-405983"
"NATA MONTAR                          ",1.65,NA,NA,NA,"2233-021-405983"
"NATA MONTAR                          ",1.65,NA,NA,NA,"2233-021-405983"
"GELATINA NEUTRA",1,NA,NA,NA,"2233-021-405983"
"LEVADURA FRESCA",0.45,NA,NA,NA,"2233-021-405983"
"ACEITE GIRASOL",1.45,NA,NA,NA,"2233-021-405983"
"+PROT NATILLA VAINI",1.75,NA,NA,NA,"2233-021-405983"
"SOJA CALCIO PACK",4.2,NA,NA,NA,"2233-021-405983"
"PAPEL VEGETAL 30H",1.7,NA,NA,NA,"2233-021-405983"
"CHOCO FUNDIR NEGRO",1.45,NA,NA,NA,"2233-021-405983"
"SPAGHETTI",1.3,NA,NA,NA,"2448-014-529779"
"CRACKERS ESPELTA             ",1.7,NA,NA,NA,"2448-014-529779"
"CRACKERS ESPELTA             ",1.7,NA,NA,NA,"2448-014-529779"
"100 % TRIGO ESPELTA",1.5,NA,NA,NA,"2448-014-529779"
"PANEC. 100% INTEGRAL",1.05,NA,NA,NA,"2448-014-529779"
"TOMATE TRITURADO",0.72,NA,NA,NA,"2448-014-529779"
"12 HUEVOS SUPER GRAN",3.25,NA,NA,NA,"2448-014-529779"
"MANDARINA 2 KG",3.58,NA,NA,NA,"2448-014-529779"
"ATUN CLARO NATURAL P",4.35,NA,NA,NA,"2448-014-529779"
"LOMO SALMÓN NORUEGO",6.4,NA,NA,NA,"2448-014-529779"
"BURGER M VACUN 500G          ",3.95,NA,NA,NA,"2448-014-529779"
"BURGER M VACUN 500G          ",3.95,NA,NA,NA,"2448-014-529779"
"+ PROTEÍNA ARANDANOS",1.55,NA,NA,NA,"2448-014-529779"
"MINI TAQUITOS JAMON",2.65,NA,NA,NA,"2448-014-529779"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-529779"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-529779"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-529779"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-529779"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-529779"
"PECHUGUITA POLLO ASA         ",2.6,NA,NA,NA,"2448-014-529779"
"PECHUGUITA POLLO ASA         ",2.6,NA,NA,NA,"2448-014-529779"
"JAMON C.CALIDAD EXTR",2.04,NA,NA,NA,"2448-014-529779"
"GAZPACHO FRESCO",1.2,NA,NA,NA,"2448-014-529779"
"SALMOREJO FRESCO",1.3,NA,NA,NA,"2448-014-529779"
"MEZCLA 4 QUESOS",1.65,NA,NA,NA,"2448-014-529779"
"QUESO FETA",2.35,NA,NA,NA,"2448-014-529779"
"PLATANO",2.15,1.81,3.89,"Verdura y Frutas","2448-014-529779"
"PARKING",0,NA,NA,NA,"2448-014-529779"
"JUDÍA PLANA 350 GR                  ",1.5,NA,NA,NA,"4530-021-052628"
"JUDÍA PLANA 350 GR                  ",1.5,NA,NA,NA,"4530-021-052628"
"ESP VERDE FINO                      ",1.99,NA,NA,NA,"4530-021-052628"
"ESP VERDE FINO                      ",1.99,NA,NA,NA,"4530-021-052628"
"ESP VERDE FINO                      ",1.99,NA,NA,NA,"4530-021-052628"
"FRESÓN 1,3 KG",3.1,NA,NA,NA,"4530-021-052628"
"MIX DE SETAS INTENSO",4.62,NA,NA,NA,"4530-021-052628"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-021-052628"
"PAN ESPELTA INTEGRAL",1.4,NA,NA,NA,"4530-021-052628"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4530-021-052628"
"MINI EMP PISTO P6",1.7,NA,NA,NA,"4530-021-052628"
"GALL DIGESTIVE",1.75,NA,NA,NA,"4530-021-052628"
"MINI SALADAS 24 UN",2.5,NA,NA,NA,"4530-021-052628"
"NARANJA 5 KG.",5.95,NA,NA,NA,"4530-021-052628"
"REBUENAS",1.2,NA,NA,NA,"4530-021-052628"
"CEBOLLA TIERNA",1.29,NA,NA,NA,"4530-021-052628"
"RABANITOS",1.1,NA,NA,NA,"4530-021-052628"
"ICEBERG",0.99,NA,NA,NA,"4530-021-052628"
"ACEITUNA PARTIDA",3.9,NA,NA,NA,"4530-021-052628"
"DEO AXE DARK TEMPT.",3.15,NA,NA,NA,"4530-021-052628"
"TARTA QUESO",1.8,NA,NA,NA,"4530-021-052628"
"QUESO AÑEJO FUERTE",19.25,NA,NA,NA,"4530-021-052628"
"CORTEZA DE CERDO",1,NA,NA,NA,"4530-021-052628"
"CONOS",0.75,NA,NA,NA,"4530-021-052628"
"CHAMPÚ H&S MENTOL",4.25,NA,NA,NA,"4530-021-052628"
"PIMENTON DULCE D.O",1.75,NA,NA,NA,"4530-021-052628"
"AZAFRAN HEBRA",1.7,NA,NA,NA,"4530-021-052628"
"CRUNCHY PICANTE",1,NA,NA,NA,"4530-021-052628"
"CARAMELO REGALIZ",1.95,NA,NA,NA,"4530-021-052628"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4530-021-052628"
"COSTILLA CHURRASCO",5.38,NA,NA,NA,"4530-021-052628"
"COSTILLA CHURRASCO",4.44,NA,NA,NA,"4530-021-052628"
"BACALAO AHUMADO",3.2,NA,NA,NA,"4530-021-052628"
"FIGATELL",3.77,NA,NA,NA,"4530-021-052628"
"COSTILLA CARNOSA",5.11,NA,NA,NA,"4530-021-052628"
"QUESO LONCHAS OVEJA",2.72,NA,NA,NA,"4530-021-052628"
"EMBUTIDO LONCHEADO",4.9,NA,NA,NA,"4530-021-052628"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-021-052628"
"1/2 CONEJO TROCEADO",5.71,NA,NA,NA,"4530-021-052628"
"1/2 POLLO PART CERT",6.91,NA,NA,NA,"4530-021-052628"
"ALAS PARTIDAS CERT",4,NA,NA,NA,"4530-021-052628"
"QUESO LONCHAS OVEJA",2.68,NA,NA,NA,"4530-021-052628"
"VINO BAHIA DE DENIA",4.9,NA,NA,NA,"4530-021-052628"
"MARINA ALTA",4.95,NA,NA,NA,"4530-021-052628"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-021-052628"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-021-052628"
"SALCHICHON CEBO LONC",1.89,NA,NA,NA,"4530-021-052628"
"MAXI HAMBURGUESA",0.9,NA,NA,NA,"4530-021-052628"
"JAMÓN COCIDO 92%",2.41,NA,NA,NA,"4530-021-052628"
"JAMON CEBO IBERICO",7.73,NA,NA,NA,"4530-021-052628"
"JAMON CEBO IBERICO",8.55,NA,NA,NA,"4530-021-052628"
"JAMON CEBO IBERICO",8.03,NA,NA,NA,"4530-021-052628"
"GARROFON",1.5,NA,NA,NA,"4530-021-052628"
"FLTE BACALAO                        ",5.3,NA,NA,NA,"4530-021-052628"
"FLTE BACALAO                        ",5.3,NA,NA,NA,"4530-021-052628"
"BERBERECHO",5.95,NA,NA,NA,"4530-021-052628"
"CAÑAILLA",2.9,NA,NA,NA,"4530-021-052628"
"SEPIA LONJA",13.95,0.714,9.96,"Pescado","4530-021-052628"
"BACALADILLA",3.95,1.098,4.34,"Pescado","4530-021-052628"
"QUISQUILLA MEDIANA",27.9,0.278,7.76,"Pescado","4530-021-052628"
"ALCACHOFA",2.25,0.814,1.83,"Verdura y Frutas","4530-021-052628"
"HABAS",3.95,2.102,8.3,"Verdura y Frutas","4530-021-052628"
"MANDARINA",1.99,0.828,1.65,"Verdura y Frutas","4530-021-052628"
"TOMATE NEGRO",2.69,0.44,1.18,"Verdura y Frutas","4530-021-052628"
"LECHE ENTERA P6",5.46,NA,NA,NA,"4530-021-052629"
"SOJA CALCIO PACK",4.2,NA,NA,NA,"4530-021-052629"
"DISCOS DESM REDONDO",1.1,NA,NA,NA,"2916-010-582625"
"BOLSA PLASTICO",0.15,NA,NA,NA,"2916-010-582625"
"VINAGRE LIMPIEZA             ",0.9,NA,NA,NA,"2916-010-582625"
"VINAGRE LIMPIEZA             ",0.9,NA,NA,NA,"2916-010-582625"
"AQUA STYLING",2.1,NA,NA,NA,"2916-010-582625"
"LOCION UREA 10%",1.95,NA,NA,NA,"2916-010-582625"
"VASELINA HIDRATANTE",2,NA,NA,NA,"2916-010-582625"
"DESMAQ. BIFÁSICO",2,NA,NA,NA,"2916-010-582625"
"CEPILLO PACK-3 SUAVE",1,NA,NA,NA,"2916-010-582625"
"PARKING",0,NA,NA,NA,"2916-010-582625"
"NARANJA 5 KG.",4.95,NA,NA,NA,"2233-024-039738"
"MORCILLA CEB. OREADA",2.07,NA,NA,NA,"2233-024-039738"
"CHAMPIÑON BANDEJA P",1.81,NA,NA,NA,"2233-024-039738"
"HIGIENICO DOBLE ROLL",4.4,NA,NA,NA,"2233-024-039738"
"BURGER BERENJENA",2.4,NA,NA,NA,"2233-024-039738"
"CHISTORRA                             ",1.55,NA,NA,NA,"2233-024-039738"
"CHISTORRA                             ",1.55,NA,NA,NA,"2233-024-039738"
"SALTEADO DE SETAS",1.65,NA,NA,NA,"2233-024-039738"
"TIRAS DE POTON",4.45,NA,NA,NA,"2233-024-039738"
"QUESO RALLADO PIZZA",1.54,NA,NA,NA,"2233-024-039738"
"HELADO VAINILLA",2.3,NA,NA,NA,"2233-024-039738"
"QUESO CHEDDAR LONCHA",1.75,NA,NA,NA,"2233-024-039738"
"BURGER VACUNO",4.4,NA,NA,NA,"2233-024-039738"
"MORCILLA CEB. OREADA",2.05,NA,NA,NA,"2233-024-039738"
"CHORIZO AP. DULCE",2.68,NA,NA,NA,"2233-024-039738"
"CHORIZO AP. DULCE",2.49,NA,NA,NA,"2233-024-039738"
"GAMBA PELADA CRUDA",4.95,NA,NA,NA,"2233-024-039738"
"MEZCLA DE SEMILLAS",1.39,NA,NA,NA,"2233-024-039738"
"KIWI VERDE BANDEJA",3.08,NA,NA,NA,"2233-024-039738"
"MANTEQUILLA PAST.SIN",1.9,NA,NA,NA,"2233-024-039738"
"LEVADURA FRESCA                       ",0.45,NA,NA,NA,"2233-024-039738"
"LEVADURA FRESCA                       ",0.45,NA,NA,NA,"2233-024-039738"
"POLLO ENTERO LIMPIO",7.36,NA,NA,NA,"2233-024-039738"
"SOJA NATURAL CAJA",4.8,NA,NA,NA,"2233-024-039738"
"PATATA 3 KG",4.9,NA,NA,NA,"2233-024-039738"
"HARINA DE TRIGO 5KG.",2.9,NA,NA,NA,"2233-024-039738"
"MAYONESA HELLMANN?S",2.95,NA,NA,NA,"2233-024-039738"
"CAFE MOLIDO NATURAL",3.65,NA,NA,NA,"2233-024-039738"
"CACAHUETE SIN SAL",1.55,NA,NA,NA,"2233-024-039738"
"NATA PARA COCINAR",1.45,NA,NA,NA,"2233-024-039738"
"GARBANZO M.COCIDO",0.65,NA,NA,NA,"2233-024-039738"
"PAÑUELO CAJA                          ",1.2,NA,NA,NA,"2233-024-039738"
"PAÑUELO CAJA                          ",1.2,NA,NA,NA,"2233-024-039738"
"KETCHUP",1.3,NA,NA,NA,"2233-024-039738"
"LENTEJA COCIDA",0.8,NA,NA,NA,"2233-024-039738"
"LECHE ENTERA",0.91,NA,NA,NA,"2233-024-039738"
"NEGRO 99% CACAO",1.8,NA,NA,NA,"2233-024-039738"
"CHOCO FUNDIR NEGRO",1.45,NA,NA,NA,"2233-024-039738"
"CHOCO LECHE CLASSIC",1.05,NA,NA,NA,"2233-024-039738"
"LENTEJA",1.95,NA,NA,NA,"2233-024-039738"
"ROJA ACIDULCE BOLSA",3.2,NA,NA,NA,"2233-024-039738"
"NUEZ CASCARA NATURAL",3.25,NA,NA,NA,"2233-024-039738"
"LENTEJAS A LA JARDIN",1.15,NA,NA,NA,"2233-024-039738"
"PASAS SULTANAS",1.35,NA,NA,NA,"2233-024-039738"
"NACHOS",0.9,NA,NA,NA,"2233-024-039738"
"CEBOLLA 2 KG",3.85,NA,NA,NA,"2233-024-039738"
"HARINA DE FUERZA",0.91,NA,NA,NA,"2233-024-039738"
"CHAMPU ARGAN OIL",2.05,NA,NA,NA,"2233-024-039738"
"HARINA FINA DE MAIZ",1.2,NA,NA,NA,"2233-024-039738"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"2233-024-039738"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"2233-024-039738"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"2233-024-039738"
"GEL UREA 10%",2,NA,NA,NA,"2233-024-039738"
"ALTRAMUCES",1.75,NA,NA,NA,"2233-024-039738"
"ARROZ J.SENDRA",1.54,NA,NA,NA,"2233-024-039738"
"ARROZ REDONDO",1.27,NA,NA,NA,"2233-024-039738"
"ACEITUNA CHUPADEDOS",3.3,NA,NA,NA,"2233-024-039738"
"PAN REDONDO SEMILLAS                  ",1.75,NA,NA,NA,"2233-024-039738"
"PAN REDONDO SEMILLAS                  ",1.75,NA,NA,NA,"2233-024-039738"
"S. HIERBAS PROVENZAL",1,NA,NA,NA,"2233-024-039738"
"NATA MONTAR",1.95,NA,NA,NA,"2233-024-039738"
"TOMATE TROCEADO",0.85,NA,NA,NA,"2233-024-039738"
"ANACARDO NATURAL",2.3,NA,NA,NA,"2233-024-039738"
"CHOCOLATE POLVO",3.25,NA,NA,NA,"2233-024-039738"
"LECHE DE COCO",1.4,NA,NA,NA,"2233-024-039738"
"GARBANZO M.COCIDO",0.71,NA,NA,NA,"2233-024-039738"
"TERMO PROTECT",3,NA,NA,NA,"2233-024-039738"
"FIDEUA CURVA",0.82,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"CHAPATA CRISTAL                       ",0.35,NA,NA,NA,"2233-024-039738"
"TORTILLA TRIGO 6 UN",1.6,NA,NA,NA,"2233-024-039738"
"SPAGHETTI",1.3,NA,NA,NA,"2233-024-039738"
"PAT. CLASSICAS",1.75,NA,NA,NA,"2233-024-039738"
"CHAMPÚ CURL PERFECT",2.35,NA,NA,NA,"2233-024-039738"
"PATATAS PIMIENTO",1.15,NA,NA,NA,"2233-024-039738"
"BANANA",1.45,1.228,1.78,"Verdura y Frutas","2233-024-039738"
"PIMIENTO ROJO",2.69,1.378,3.71,"Verdura y Frutas","2233-024-039738"
"BROTES TIERNOS",1.15,NA,NA,NA,"4523-015-405285"
"INTEGRAL TRIGO50%S/S         ",0.35,NA,NA,NA,"4523-015-405285"
"INTEGRAL TRIGO50%S/S         ",0.35,NA,NA,NA,"4523-015-405285"
"INTEGRAL TRIGO50%S/S         ",0.35,NA,NA,NA,"4523-015-405285"
"PAN DE PUEBLO",1.6,NA,NA,NA,"4523-015-405285"
"PATATA CHURRERÍA             ",1,NA,NA,NA,"4523-015-405285"
"PATATA CHURRERÍA             ",1,NA,NA,NA,"4523-015-405285"
"ARROZ J.SENDRA               ",1.54,NA,NA,NA,"4523-015-405285"
"ARROZ J.SENDRA               ",1.54,NA,NA,NA,"4523-015-405285"
"AJOS TIERNOS",2.35,NA,NA,NA,"4523-015-405285"
"MUSLO PATO CONFIT",6.74,NA,NA,NA,"4523-015-405285"
"VACA CORTADO",2.43,NA,NA,NA,"4523-015-405285"
"GALLINA PESADA",3.91,NA,NA,NA,"4523-015-405285"
"T.CHERRY 500 GR",1.95,NA,NA,NA,"4523-015-405285"
"MINICONO NATA SA X12",3.4,NA,NA,NA,"4523-015-405285"
"MINI HELADOS",1.7,NA,NA,NA,"4523-015-405285"
"MUSLO PATO CONFIT",6.7,NA,NA,NA,"4523-015-405285"
"SERRANO A CUCHILLO",3.98,NA,NA,NA,"4523-015-405285"
"SERRANO A CUCHILLO",3.59,NA,NA,NA,"4523-015-405285"
"GALLINA PESADA",2.75,NA,NA,NA,"4523-015-405285"
"QUESO FETA",2.35,NA,NA,NA,"4523-015-405285"
"LONGANIZA PASCUA             ",2.43,NA,NA,NA,"4523-015-405285"
"LONGANIZA PASCUA             ",2.43,NA,NA,NA,"4523-015-405285"
"MANGO DESHIDRATADO           ",1.35,NA,NA,NA,"4523-015-405285"
"MANGO DESHIDRATADO           ",1.35,NA,NA,NA,"4523-015-405285"
"TOMATE TRITURADO",0.72,NA,NA,NA,"4523-015-405285"
"TOMATE TRITURADO",0.98,NA,NA,NA,"4523-015-405285"
"MOJAMA TACO SUPERIOR",7.04,NA,NA,NA,"4523-015-405285"
"Q AÑEJO SECO",6.21,NA,NA,NA,"4523-015-405285"
"COCIDO",1.8,NA,NA,NA,"4523-015-405285"
"ACEITUNA R/ANCHOA P3",3.12,NA,NA,NA,"4523-015-405285"
"VENTRESCA ATUN CLARO         ",3.5,NA,NA,NA,"4523-015-405285"
"VENTRESCA ATUN CLARO         ",3.5,NA,NA,NA,"4523-015-405285"
"SERVILLETA 2 CAPAS",1.4,NA,NA,NA,"4523-015-405285"
"PIÑONES",2.84,NA,NA,NA,"4523-015-405285"
"PEPINO",1.99,0.318,0.63,"Verdura y Frutas","4523-015-405285"
"PARKING",0,NA,NA,NA,"4523-015-405285"
"SERVILLETA 33X32 2CA",2.05,NA,NA,NA,"4530-019-029305"
"ROLLO HOGAR DOBLE",2.1,NA,NA,NA,"4530-019-029305"
"FRESÓN 1,3 KG",3.33,NA,NA,NA,"4530-019-029305"
"C. ESPECIAL BOT",4.92,NA,NA,NA,"4530-019-029305"
"AJO SECO 250 G",1.65,NA,NA,NA,"4530-019-029305"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-013-398523"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-013-398523"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-013-398523"
"TINTO BOBAL                         ",2.9,NA,NA,NA,"4530-013-398523"
"VINO DO TORO ROBLE",2.9,NA,NA,NA,"4530-013-398523"
"MARINA ALTA",4.95,NA,NA,NA,"4530-013-398523"
"ACEITUNA PARTIDA",3.9,NA,NA,NA,"4530-013-398523"
"FUMET DE PESCADO",3,NA,NA,NA,"4530-013-398523"
"MIX ENCURTIDOS",2.6,NA,NA,NA,"4530-013-398523"
"JUDÍA PLANA 350 GR",1.89,NA,NA,NA,"4530-013-398523"
"MIX DE SETAS INTENSO",4.31,NA,NA,NA,"4530-013-398523"
"BOGAVANTE CRUDO                     ",14.85,NA,NA,NA,"4530-013-398523"
"BOGAVANTE CRUDO                     ",14.85,NA,NA,NA,"4530-013-398523"
"COLA RAPE",15.27,NA,NA,NA,"4530-013-398523"
"BERBERECHO",5.95,NA,NA,NA,"4530-013-398523"
"GAMBA PELADA CRUDA",4.95,NA,NA,NA,"4530-013-398523"
"CLÒTXINA",4.95,NA,NA,NA,"4530-013-398523"
"ARROZ BOMBA",4.9,NA,NA,NA,"4530-013-398523"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"4530-013-398523"
"PAN M.100% INTEGRAL",0.95,NA,NA,NA,"4530-013-398523"
"COSTILLA CHURRASCO",5.26,NA,NA,NA,"4530-013-398523"
"COSTILLA CARNOSA",4.68,NA,NA,NA,"4530-013-398523"
"ALAS PARTIDAS CERT",4.74,NA,NA,NA,"4530-013-398523"
"1/2 CONEJO TROCEADO",6.82,NA,NA,NA,"4530-013-398523"
"CALAMAR M INDIO",12.95,0.728,9.43,"Pescado","4530-013-398523"
"ALCACHOFA",2.25,0.748,1.68,"Verdura y Frutas","4530-013-398523"
"PAÑUELOS 4 CAP 10X10",1.15,NA,NA,NA,"2233-010-775719"
"FILM TRANSPARENTE",1.85,NA,NA,NA,"2233-010-775719"
"HARINA DE FUERZA                   ",0.91,NA,NA,NA,"2233-010-775719"
"HARINA DE FUERZA                   ",0.91,NA,NA,NA,"2233-010-775719"
"C. GALL POLL Y TERN",1.95,NA,NA,NA,"2233-010-775719"
"VACA CORTADO",2.52,NA,NA,NA,"2233-010-775719"
"CHAMPU EN SECO",2,NA,NA,NA,"2233-010-775719"
"LEJIA CON DETERGENTE",1.15,NA,NA,NA,"2233-010-775719"
"NEGRO 72% PEPITAS",1.45,NA,NA,NA,"2233-010-775719"
"NEGRO 72% ALMENDRAS",2.15,NA,NA,NA,"2233-010-775719"
"STICK DENTAL",1.75,NA,NA,NA,"2233-010-775719"
"RULITO CABRA",2.35,NA,NA,NA,"2233-010-775719"
"PATE FINAS HIERBAS",1.15,NA,NA,NA,"2233-010-775719"
"NACHOS",0.9,NA,NA,NA,"2233-010-775719"
"Q VIEJO TOSTADO",5.47,NA,NA,NA,"2233-010-775719"
"SEITÁN",3.1,NA,NA,NA,"2233-010-775719"
"LOTE BAYETAS SUAVES",1.2,NA,NA,NA,"2233-010-775719"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"2233-010-775719"
"HARINA DE TRIGO.",0.7,NA,NA,NA,"4523-015-407361"
"12 HUEVOS CAMPEROS",2.62,NA,NA,NA,"4523-015-407361"
"MANGO DESHIDRATADO",1.35,NA,NA,NA,"4523-015-407361"
"PIÑA DESHIDRATADA",1.25,NA,NA,NA,"4523-015-407361"
"LS ARROZ AL HORNO",4.5,NA,NA,NA,"4523-015-407361"
"CREMA CACAO 2 SABOR",1.95,NA,NA,NA,"4523-015-407361"
"LEJIA CON DETERGENTE",1.15,NA,NA,NA,"4530-018-257378"
"EXPLOSION ACTION ENJ",1.5,NA,NA,NA,"4530-018-257378"
"PAÑUELO CAJA",1.2,NA,NA,NA,"4530-018-257378"
"QUESO LONCHAS OVEJA",2.79,NA,NA,NA,"4530-018-257378"
"JAMÓN COCIDO 92%",2.41,NA,NA,NA,"4530-018-257378"
"POLLO CERTIFICADO E",8.49,NA,NA,NA,"4530-018-257378"
"PERF.LABIOS 05",2.5,NA,NA,NA,"4530-018-257378"
"LENTEJA PARDINA",2.1,NA,NA,NA,"4530-018-257378"
"PANCETA",4.39,NA,NA,NA,"4530-018-257378"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-018-257378"
"CHORIZO OREADO",2.65,NA,NA,NA,"4530-018-257378"
"CRIOLLO LONGANIZA",3.23,NA,NA,NA,"4530-018-257378"
"CARACOL PRECOCIDO           ",2.95,NA,NA,NA,"4530-018-257378"
"CARACOL PRECOCIDO           ",2.95,NA,NA,NA,"4530-018-257378"
"PINCHO MEXICANO",4.29,NA,NA,NA,"4530-018-257378"
"CHORIZO PICANTE",2.56,NA,NA,NA,"4530-018-257378"
"1/2 CONEJO TROCEADO",6.23,NA,NA,NA,"4530-018-257378"
"CARBÓN VEGETAL",3.9,NA,NA,NA,"4530-018-257378"
"PICOS CAMPERO",1.05,NA,NA,NA,"4530-018-257378"
"GALL DIGESTIVE",1.75,NA,NA,NA,"4530-018-257378"
"PAN DE PUEBLO",1.6,NA,NA,NA,"4530-018-257378"
"CACAHUETE FRITO             ",1.3,NA,NA,NA,"4530-018-257378"
"CACAHUETE FRITO             ",1.3,NA,NA,NA,"4530-018-257378"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-018-257378"
"COOKIES CHOCOLATE",1.15,NA,NA,NA,"4530-018-257378"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4530-018-257378"
"GALLETA CHOCO NEGRO",1.25,NA,NA,NA,"4530-018-257378"
"CONOS",0.75,NA,NA,NA,"4530-018-257378"
"CORTEZA DE CERDO",1,NA,NA,NA,"4530-018-257378"
"TRIGO SNACKS",0.85,NA,NA,NA,"4530-018-257378"
"NUEZ CASCARA NATURAL",3.25,NA,NA,NA,"4530-018-257378"
"PISTACHO TOSTADO SAL",3.35,NA,NA,NA,"4530-018-257378"
"TARTA QUESO",1.8,NA,NA,NA,"4530-018-257378"
"LONGANIZA DE PAYES",4.98,NA,NA,NA,"4530-018-257378"
"CHORIZO",3.2,NA,NA,NA,"4530-018-257378"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4530-018-257378"
"SERRANO TACOS",3.32,NA,NA,NA,"4530-018-257378"
"PIZZA MEDITTERRANEA         ",2.9,NA,NA,NA,"4530-018-257378"
"PIZZA MEDITTERRANEA         ",2.9,NA,NA,NA,"4530-018-257378"
